,region,value,value
year,,2019,2020
0, Alba,3.01,3.39
1, Arad,1.37,1.72
2, Arges,2.99,3.53
3, BUCHAREST - ILFOV,1.19,1.12
4, Bacau,5.33,5.12
5, Bihor,1.3,1.83
6, Bistrita-Nasaud,2.69,2.88
7, Botosani,2.82,2.66
8, Braila,3.79,3.84
9, Brasov,2.17,2.29
10, Bucharest Municipality,1.29,1.2
11, Buzau,6.81,6.88
12, CENTER,2.62,2.89
13, Calarasi,3.79,3.74
14, Caras-Severin,3.14,3.26
15, Cluj,1.28,1.49
16, Constanta,2.29,2.43
17, Covasna,3.3,4.17
18, Dambovita,3.51,3.21
19, Dolj,7.02,6.83
20, Galati,5.81,5.9
21, Giurgiu,2.22,2.41
22, Gorj,3.71,3.47
23, Harghita,3.81,4.09
24, Hunedoara,3.31,3.52
25, Ialomita,4.89,4.43
26, Iasi,2.89,2.88
27, Ilfov,0.44,0.45
28, MACROREGION 1,2.34,2.59
29, MACROREGION 2,4.36,4.26
30, MACROREGION 3,2.25,2.23
31, MACROREGION 4,3.57,3.62
32, Maramures,3.05,2.38
33, Mehedinti,6.88,6.35
34, Mures,2.69,2.56
35, NORTH - EAST,4.44,4.25
36, NORTH - WEST,2.13,2.33
37, Neamt,4.19,4.18
38, Olt,5.57,5.57
39, Prahova,2.37,2.76
40, SOUTH - EAST,4.22,4.29
41, SOUTH - MUNTENIA,3.54,3.65
42, SOUTH - WEST OLTENIA,5.42,5.28
43, Salaj,4.27,4.64
44, Satu Mare,2.45,3.18
45, Sibiu,1.73,2.33
46, Suceava,4.84,4.82
47, TOTAL,3.05,3.12
48, Teleorman,6.88,6.3
49, Timis,0.8,1.0
50, Tulcea,3.37,3.22
51, Valcea,3.11,3.36
52, Vaslui,7.83,6.59
53, Vrancea,3.87,3.82
54, WEST,1.75,1.97
