,region,41,42
0,Ain,14.9,16.3
1,Aisne,29.4,29.3
2,Allier,21.9,22.8
3,Provence,23.1,23.3
4,Alpes,18.2,18.7
5,Maritimes,19.2,21.2
6,Ardèche,22.4,22.9
7,Ardennes,24.7,25.1
8,Ariège,24.9,25
9,Aube,24.7,25
10,Aude,27.5,27.3
11,Aveyron,17,17.6
12,Rhône,21.9,22.1
13,Calvados,19.5,20.2
14,Cantal,13.6,14
15,Charente,20.3,21.3
16,Maritime,21,22.4
17,Cher,21.7,21.5
18,Corrèze,17.3,17.9
19,d'Or,16.3,16.3
20,d'Armor,17.9,18.5
21,Creuse,21.9,21.5
22,Dordogne,21.8,21.9
23,Doubs,17.8,19.2
24,Drôme,21.8,22
25,Eure,22,22.6
26,Loir,20.1,19.7
27,Finistère,18,18.5
28,Sud,19.6,21
29,Corse,21.9,21.9
30,Gard,27.6,27
31,Garonne,18.3,19.6
32,Gers,17.4,17.5
33,Gironde,18.8,19.3
34,Hérault,27.2,27.4
35,Vilaine,15.5,17
36,Indre,20.8,21.7
37,Loire,18.7,18.9
38,Isère,16.6,17.4
39,Jura,16,15.9
40,Landes,20.4,21.1
41,Cher,18.5,17.9
42,Loire,20.1,21
43,Loire,16.7,17
44,Atlantique,16.6,18.4
45,Loiret,20.3,19.8
46,Lot,20,20.9
47,Garonne,21.5,21.4
48,Lozère,14.9,15.1
49,Loire,18.8,20.2
50,Manche,16.6,17.5
51,Marne,18.3,19.2
52,Marne,18.2,19.4
53,Mayenne,15.7,17.6
54,Moselle,18.8,19.7
55,Meuse,19.7,20.4
56,Morbihan,17.7,18.1
57,Moselle,19.9,20.7
58,Nièvre,19.1,19.4
59,Nord,25.1,24.9
60,Oise,21.2,22.4
61,Orne,20.6,21.2
62,Calais,26.9,27.1
63,Dôme,17.4,18.1
64,Atlantiques,17.7,17.8
65,Pyrénées,22.2,23.1
66,Orientales,31.1,31.1
67,Rhin,16.5,17.4
68,Rhin,18.8,20.6
69,Rhône,15.7,16.7
70,Saône,20.3,20.1
71,Loire,18.6,18.6
72,Sarthe,22.1,23.2
73,Savoie,14.4,15.5
74,Savoie,14,15.7
75,Paris,8.8,10.1
76,Maritime,24,24.6
77,Marne,16.3,18
78,Yvelines,13,14.2
79,Sèvres,17,17.9
80,Somme,25.4,25.6
81,Tarn,23.3,23.1
82,Tarn et Garonne,24.5,24.7
83,Var,22.7,22.7
84,Vaucluse,25.2,25.1
85,Vendée,16.5,18.1
86,Vienne,18.3,19
87,Vienne,20.5,20.9
88,Vosges,22,22.4
89,Yonne,20.3,20.3
90,Territoire de Belfort,21.4,23.9
91,Essonne,15,16.6
92,Seine,10.3,11.6
93,Denis,19,20.6
94,Marne,14.2,15.6
95,d'Oise,17.5,19.4
96,France,20.2,20.8
97,France métropolitaine,18.9,19.7
98,France,13.9,15.4
99,Val de Loire,19.8,19.7
100,Comté,18.2,18.6
101,Normandie,21.4,22
102,France,25.4,25.5
103,Grand Est,19.2,20.2
104,Pays de la Loire,17.8,19.4
105,Bretagne,17,17.8
106,Aquitaine,19.4,19.9
107,Occitanie,23.5,23.9
108,Alpes,16.9,17.9
109,Côte d'Azur,21.8,22.3
110,Corse,20.7,21.4
